timestamp,vm_id,avg cpu
0,MS_10489_POD_1234,0.12934999999978264
300,MS_10489_POD_1234,0.11530833333342641
600,MS_10489_POD_1234,0.11217500000027933
900,MS_10489_POD_1234,0.11254166666651141
1200,MS_10489_POD_1234,0.13810833333370587
1500,MS_10489_POD_1234,0.12541666666666665
1800,MS_10489_POD_1234,0.12602499999959638
2100,MS_10489_POD_1234,0.12177499999990682
2400,MS_10489_POD_1234,0.11557500000034142
2700,MS_10489_POD_1234,0.10537500000015516
3000,MS_10489_POD_1234,0.10316666666651142
3300,MS_10489_POD_1234,0.10465000000006204
3600,MS_10489_POD_1234,0.10670833333317806
3900,MS_10489_POD_1234,0.10161666666623201
4200,MS_10489_POD_1234,0.09639166666738064
4500,MS_10489_POD_1234,0.09482499999925492
4800,MS_10489_POD_1234,0.09378333333336433
5100,MS_10489_POD_1234,0.08945833333379896
5400,MS_10489_POD_1234,0.09075833333345747
5700,MS_10489_POD_1234,0.08940833333336434
6000,MS_10489_POD_1234,0.08019166666626307
6300,MS_10489_POD_1234,0.07634166666694604
6600,MS_10489_POD_1234,0.0787083333334885
6900,MS_10489_POD_1234,0.07919166666610782
7200,MS_10489_POD_1234,0.0816750000005898
7500,MS_10489_POD_1234,0.10019999999941012
7800,MS_10489_POD_1234,0.07500833333392316
8100,MS_10489_POD_1234,0.07777499999928594
8400,MS_10489_POD_1234,0.07835000000040354
8700,MS_10489_POD_1234,0.08055000000012412
9000,MS_10489_POD_1234,0.08350833333330224
9300,MS_10489_POD_1234,0.08576666666660454
9600,MS_10489_POD_1234,0.08136666666638723
9900,MS_10489_POD_1234,0.07695833333379894
10200,MS_10489_POD_1234,0.07383333333302286
10500,MS_10489_POD_1234,0.0797666666664493
10800,MS_10489_POD_1234,0.08305000000012415
11100,MS_10489_POD_1234,0.07804166666697707
11400,MS_10489_POD_1234,0.07197500000009308
11700,MS_10489_POD_1234,0.0831416666662941
12000,MS_10489_POD_1234,0.0776250000003104
12300,MS_10489_POD_1234,0.07860833333339537
12600,MS_10489_POD_1234,0.08549166666654244
12900,MS_10489_POD_1234,0.08016666666682186
13200,MS_10489_POD_1234,0.08230833333296075
13500,MS_10489_POD_1234,0.08309999999978264
13800,MS_10489_POD_1234,0.08630833333358164
14100,MS_10489_POD_1234,0.0831166666668529
14400,MS_10489_POD_1234,0.08197500000009308
14700,MS_10489_POD_1234,0.0858916666661389
15000,MS_10489_POD_1234,0.08146666666725648
15300,MS_10489_POD_1234,0.0799916666660768
15600,MS_10489_POD_1234,0.0833250000001862
15900,MS_10489_POD_1234,0.08298333333339539
16200,MS_10489_POD_1234,0.07934999999978264
16500,MS_10489_POD_1234,0.08670000000003097
16800,MS_10489_POD_1234,0.08579166666682185
17100,MS_10489_POD_1234,0.08549166666731854
17400,MS_10489_POD_1234,0.08704999999996887
17700,MS_10489_POD_1234,0.07796666666710125
18000,MS_10489_POD_1234,0.0851249999995343
18300,MS_10489_POD_1234,0.08557499999956536
18600,MS_10489_POD_1234,0.08564999999944116
18900,MS_10489_POD_1234,0.0901583333336748
19200,MS_10489_POD_1234,0.08797500000024831
19500,MS_10489_POD_1234,0.09068333333280557
19800,MS_10489_POD_1234,0.0951500000005277
20100,MS_10489_POD_1234,0.09444999999987576
20400,MS_10489_POD_1234,0.08964166666613889
20700,MS_10489_POD_1234,0.09485000000024832
21000,MS_10489_POD_1234,0.09710000000040352
